0,0.24129,0.49578,0.34621,0.34715
2,0.20699,0.49754,0.30391,0.30312
4,0.16953,0.49406,0.2659,0.26488
6,0.14359,0.49219,0.22863,0.22656
8,0.1298,0.49641,0.19695,0.19555
10,0.12762,0.49531,0.17695,0.17789
12,0.12496,0.495,0.15902,0.15863
14,0.12703,0.49785,0.14957,0.14883
16,0.12551,0.49809,0.14176,0.14133
18,0.12621,0.49684,0.1366,0.13777
20,0.12461,0.49641,0.13359,0.13418
